email,kind,draft_or_campaign,timing,internal_name,subject,preheader,from_name,from_email,reply_to,button,destination,html_file
2.1,automation email,192829194505291071,Immediately,Kit delivery,Your Pricing Confidence Kit is ready,"A practical first step toward pricing with clarity, not apology.",MD,info@curlscontemplation.beauty,info@curlscontemplation.beauty,Download Your Kit,https://comfnluqjhnmbxfvvjeo.supabase.co/storage/v1/object/public/curls-free/checklists/Detailed-Pricing-Guide-for-Stylists.pdf,html/email-2.1-kit-delivery.html
2.2,automation email,192829194505291071,1 day later,Activation prompt,"Before you change your prices, answer this",The number is rarely the whole problem.,MD,info@curlscontemplation.beauty,info@curlscontemplation.beauty,Reopen the Kit,https://comfnluqjhnmbxfvvjeo.supabase.co/storage/v1/object/public/curls-free/checklists/Detailed-Pricing-Guide-for-Stylists.pdf,html/email-2.2-activation-prompt.html
2.3,automation email,192829194505291071,3 days later,Bridge to paid offer,Your talent needs a structure that can hold it,Skill can open the door. Structure helps you remain in the room.,MD,info@curlscontemplation.beauty,info@curlscontemplation.beauty,Preorder the Digital Edition,https://curlscontemplation.beauty/order,html/email-2.3-bridge-to-paid-offer.html
4.1,automation email,192829198284359504,Immediately,Personalized result,Your creative-career blind spot: {$quiz_result_name},This is not a flaw. It is a pattern you can work with.,MD,info@curlscontemplation.beauty,info@curlscontemplation.beauty,See Your Next Step,{$quiz_result_url|default('https://curlscontemplation.beauty/quiz')},html/email-4.1-personalized-result.html
4.2,automation email,192829198284359504,2 days later,Pattern interruption,Your blind spot usually appears before the decision,Notice the moment the pattern begins — not only the consequence.,MD,info@curlscontemplation.beauty,info@curlscontemplation.beauty,Review Your Result,{$quiz_result_url|default('https://curlscontemplation.beauty/quiz')},html/email-4.2-pattern-interruption.html
4.3,automation email,192829198284359504,3 days later,Book bridge,What changes when you can finally see the pattern?,Awareness creates a choice where habit once decided.,MD,info@curlscontemplation.beauty,info@curlscontemplation.beauty,Explore the Digital Edition,https://curlscontemplation.beauty/order,html/email-4.3-book-bridge.html
5.1,automation email,192829201493001563,Immediately after payment,Preorder welcome,Your Curls & Contemplation preorder is confirmed,"Your launch-day access is reserved for November 24, 2026.",MD,info@curlscontemplation.beauty,info@curlscontemplation.beauty,View Your Order,https://curlscontemplation.beauty/dashboard,html/email-5.1-preorder-welcome.html
5.2,automation email,192829201493001563,2 days later,Emotional reinforcement,You did not simply preorder a book,You reserved time for a more intentional conversation with your career.,MD,info@curlscontemplation.beauty,info@curlscontemplation.beauty,Return to Your Order,https://curlscontemplation.beauty/dashboard,html/email-5.2-emotional-reinforcement.html
5.3,scheduled campaign,campaign IDs: 192795454682957112 / 192795457777304695 / 192795460957636199,"October 25, 2026",Thirty-day countdown,One month until Curls & Contemplation,Your digital edition and preorder workbook arrive November 24.,MD,info@curlscontemplation.beauty,info@curlscontemplation.beauty,Check Your Access Details,https://curlscontemplation.beauty/dashboard,html/email-5.3-thirty-day-countdown.html
5.4,scheduled campaign,campaign IDs: 192795454682957112 / 192795457777304695 / 192795460957636199,"November 17, 2026",Seven-day countdown,One week until release,"Your reserved access goes live Tuesday, November 24.",MD,info@curlscontemplation.beauty,info@curlscontemplation.beauty,View Your Order,https://curlscontemplation.beauty/dashboard,html/email-5.4-seven-day-countdown.html
